Mode,Route Type,Route Num,Route Name,RPTP Level of Service,Area,month,passengers
Bus,Commuter,101,Pt Chevalier To Auckland University Via Jervois Rd,Peak,Central,2023-07-01,6680.0
Bus,Commuter,105,Westmere To Britomart Via Richmond Rd,Connector,Central,2023-07-01,34189.0
Bus,Commuter,106,Freemans Bay Loop,Connector,Central,2023-07-01,5420.0
Bus,Commuter,110,Westgate To City Centre Via Northwestern Motorway,Connector,West,2023-07-01,26095.0
Bus,Commuter,111,Royal Heights Loop,Local,West,2023-07-01,4236.0
Bus,Commuter,112,Hob Pt Wharf To Northwest Via W Harbour,Connector,West,2023-07-01,8811.0
Bus,Commuter,114,Hob Pt Wharf To Northwest Via Whenuapai,Local,West,2023-07-01,3102.0
Bus,Commuter,120,Henderson to Constellation Station via Westgate,Connector,West,2023-07-01,52173.0
Bus,Commuter,122,Huapai North To Westgate Via Kumeu,Rural Township,West,2023-07-01,1222.0
Bus,Commuter,125,Helensville To Westgate Via Kumeu,Rural Township,West,2023-07-01,4810.0
Bus,Commuter,125X,Helensville To City Centre Via Westgate Express,Peak,West,2023-07-01,5858.0
Bus,Commuter,126,Albany To Westgate Via Riverhead,Rural Township,West,2023-07-01,9297.0
Bus,Commuter,128,Hibiscus Coast Station To Helensville,Rural Township,West,2023-07-01,2440.0
Bus,Commuter,129,Westgate To City Centre Via Don Buck Rd,Peak,West,2023-07-01,3469.0
Bus,Commuter,131,Te Atatu Peninsula to Henderson,Connector,West,2023-07-01,16204.0
Bus,Commuter,132,Te Atatu Peninsula Loop To City Centre,Peak,West,2023-07-01,24394.0
Bus,Commuter,132X,Te Atatu Peninsula To City Centre Express,Peak,West,2023-07-01,3272.0
Bus,Commuter,133,Henderson To City Centre Via Te Atatu Rd,Connector,West,2023-07-01,28490.0
Bus,Commuter,133X,Henderson To City Centre Via Te Atatu Rd Express,Peak,West,2023-07-01,2558.0
Bus,Commuter,134,Henderson To City Centre Via Edmonton Rd,Connector,West,2023-07-01,21337.0
Bus,Commuter,138,Henderson to New Lynn via Rosebank Rd,Local,West,2023-07-01,11243.0
Bus,Commuter,141,Henderson West Loop Anticlockwise,Connector,West,2023-07-01,6430.0
Bus,Commuter,142,Henderson West Loop Clockwise,Connector,West,2023-07-01,5568.0
Bus,Commuter,143,Ranui to Henderson via Sturges Rd,Connector,West,2023-07-01,8682.0
Bus,Commuter,146,Waitakere Village to Henderson via Swanson and Central Park,Local,West,2023-07-01,8986.0
Bus,Commuter,14T,"Westgate to New Lynn via Triangle Rd, Lincoln Rd & Henderson",Frequent,West,2023-07-01,26937.0
Bus,Commuter,14W,"Westgate to New Lynn via Waimumu Rd, Lincoln Rd & Henderson",Frequent,West,2023-07-01,27539.0
Bus,Commuter,151,Parrs Park To New Lynn Via Kaurilands Rd,Peak,West,2023-07-01,1233.0
Bus,Commuter,152,Henderson to New Lynn via Sunnyvale and Glen Eden,Local,West,2023-07-01,15463.0
Bus,Commuter,154,Henderson to New Lynn via Glen Eden,Connector,West,2023-07-01,24731.0
Bus,Commuter,161,Brains Park to New Lynn,Local,West,2023-07-01,5700.0
Bus,Commuter,162,Henderson to New Lynn via Glendene,Connector,West,2023-07-01,15848.0
Bus,Commuter,170,Titirangi South to New Lynn,Local,West,2023-07-01,3507.0
Bus,Commuter,171,Laingholm To New Lynn,Local,West,2023-07-01,6262.0
Bus,Commuter,172,Glen Eden to New Lynn via Titirangi,Connector,West,2023-07-01,10853.0
Bus,Commuter,18,New Lynn To City Centre Via Great North Rd,Frequent,Central,2023-07-01,109486.0
Bus,Commuter,186,South Lynn Loop,Connector,West,2023-07-01,10133.0
Bus,Commuter,191,Lynfield To New Lynn Via Blockhouse Bay And Avondale,Local,Central,2023-07-01,9947.0
Bus,Commuter,195,New Lynn To City Centre Via Green Bay,Connector,West,2023-07-01,47543.0
Bus,Commuter,20,St Lukes To Wynyard Quarter Via Kingsland,Frequent,Central,2023-07-01,22010.0
Bus,Commuter,209,Titirangi to City Centre via Green Bay and New North Rd,Peak,West,2023-07-01,7300.0
Bus,Commuter,22N,New Lynn To City Centre Via New North Rd,Frequent,Central,2023-07-01,54611.0
Bus,Commuter,22R,Rosebank Rd To City Centre Via New North Rd,Frequent,Central,2023-07-01,60849.0
Bus,Commuter,24B,New Lynn And Blockhouse Bay To City Centre Via Sandringham R,Frequent,Central,2023-07-01,67928.0
Bus,Commuter,24R,New Lynn To City Centre Via Sandingham Rd,Frequent,Central,2023-07-01,60576.0
Bus,Commuter,252,Lynfield To Civic Centre Via Dominion Rd,Peak,Central,2023-07-01,10276.0
Bus,Commuter,253,Blockhouse Bay To Civic Centre Via Dominion Rd,Peak,Central,2023-07-01,10467.0
Bus,Commuter,25B,Blockhouse Bay To City Centre Via Dominion Rd,Frequent,Central,2023-07-01,88431.0
Bus,Commuter,25L,Lynfield To City Centre Via Dominion Rd,Frequent,Central,2023-07-01,83478.0
Bus,Commuter,27H,Waikowhai To Britomart Via Hillsborough Rd And Mt Eden Rd,Frequent,Central,2023-07-01,64086.0
Bus,Commuter,27W,Waikowhai To Britomart Via Mt Eden Rd,Frequent,Central,2023-07-01,67501.0
Bus,Commuter,295,Ellerslie Station To City Centre Via Royal Oak,Connector,Central,2023-07-01,23533.0
Bus,Commuter,298,Onehunga To Sylvia Park Via Ellerslie,Local,Central,2023-07-01,18549.0
Bus,Commuter,30,Onehunga To City Centre Via Manukau Rd,Frequent,Central,2023-07-01,108191.0
Bus,Commuter,309,Mangere Town Centre To City Centre,Connector,South,2023-07-01,53086.0
Bus,Commuter,309X,Mangere Town Centre To City Centre (Express),Peak,South,2023-07-01,4572.0
Bus,Commuter,31,Mangere Town Centre To Botany Town Centre Via Otara,Frequent,South,2023-07-01,38127.0
Bus,Commuter,313,Mangere To Manukau Bus Station Via Papatoetoe,Connector,South,2023-07-01,12664.0
Bus,Commuter,314,Ormiston To Middlemore Station Via Otara,Connector,South,2023-07-01,15913.0
Bus,Commuter,32,Mangere Town Centre To Sylvia Park Via Otahuhu,Frequent,South,2023-07-01,37734.0
Bus,Commuter,321,Middlemore Station To Britomart Via Greenlane Hospital,Local,Central,2023-07-01,22181.0
Bus,Commuter,323,Otahuhu Station To Panmure Via Panama Rd,Connector,Central,2023-07-01,18637.0
Bus,Commuter,324,Mangere Town Centre To Seaside Park Via Otahuhu,Local,South,2023-07-01,8312.0
Bus,Commuter,325,Mangere Town Ctr To Manukau Station Via Otahuhu & Otara,Connector,South,2023-07-01,34966.0
Bus,Commuter,326,Mangere Town Centre To Otahuhu Station Via Tidal Road,Local,South,2023-07-01,4138.0
Bus,Commuter,33,Papakura Interchange To Otahuhu Station Via Great South Rd,Frequent,South,2023-07-01,72108.0
Bus,Commuter,333X,Britomart To Otahuhu Limited Stops Via Great South Rd,Night,Central,2023-07-01,30.0
Bus,Commuter,35,Ormiston To Botany Via Chapel Rd,Frequent,South,2023-07-01,42644.0
Bus,Commuter,351,Botany To Otahuhu Station Via Highbrook,Weekday Connector,South,2023-07-01,6737.0
Bus,Commuter,352,Manukau Bus Station To Panmure Via East Tamaki,Peak,South,2023-07-01,7914.0
Bus,Commuter,353,Manukau Bus Station To Botany Town Centre Via Preston Rd,Connector,South,2023-07-01,8618.0
Bus,Commuter,355,Ormiston To Botany Via Mission Heights,Connector,South,2023-07-01,23230.0
Bus,Commuter,36,Manukau to Onehunga via Mangere Town Centre,Frequent,South,2023-07-01,34458.0
Bus,Commuter,361,Manurewa Interchange To Otara / Mit Via Mahia Rd,Connector,South,2023-07-01,21160.0
Bus,Commuter,362,Weymouth To Manukau Bus Station Via Great South Rd,Connector,South,2023-07-01,17571.0
Bus,Commuter,363,Manurewa Interchange To Wattle Downs Loop,Local,South,2023-07-01,4033.0
Bus,Commuter,365,Papakura Interchange To Manukau Bus Station Via Porchester,Connector,South,2023-07-01,19990.0
Bus,Commuter,366,Manurewa Interchange To Manukau Bus Station Via The Gardens,Connector,South,2023-07-01,15551.0
Bus,Commuter,372,Papakura Shops To Keri Hill Loop,Connector,South,2023-07-01,6238.0
Bus,Commuter,373,Red Hill To Papakura Shops,Local,South,2023-07-01,3011.0
Bus,Commuter,376,Papakura Shops To Auranga Dr Via Drury,Connector,South,2023-07-01,3729.0
Bus,Commuter,377,Pahurehure To Papakura Interchange,Connector,South,2023-07-01,3746.0
Bus,Commuter,378,Papakura Shops To Karaka Harbourside Loop And Karaka Lakes,Connector,South,2023-07-01,2037.0
Bus,Commuter,38,Airport To Onehunga Via Mangere Town Centre,Frequent,South,2023-07-01,24273.0
Bus,Commuter,391,Pukekohe Northeast Loop,Connector,South,2023-07-01,1488.0
Bus,Commuter,392,Pukekohe Northwest Loop,Connector,South,2023-07-01,2589.0
Bus,Commuter,393,Pukekohe South Loop,Connector,South,2023-07-01,1170.0
Bus,Commuter,394,Pukekohe Station To Papakura Station Via Paerata Rise,Connector,South,2023-07-01,16367.0
Bus,Commuter,395,Waiuku To Papakura Interchange,Peak,South,2023-07-01,370.0
Bus,Commuter,396,Waiuku To Pukekohe Interchange Via Kitchener Rd And Patumaho,Rural Township,South,2023-07-01,1220.0
Bus,Commuter,399,Port Waikato To Pukekohe Interchange Via Tuakau,Rural Township,South,2023-07-01,23.0
Bus,Commuter,501,Kennedy Point to Matiatia Wharf,Local,Waiheke Island,2023-07-01,3874.0
Bus,Commuter,502,Rocky Bay to Matiatia Wharf,Connector,Waiheke Island,2023-07-01,16694.0
Bus,Commuter,50A,Onetangi (Seventh Ave) To Matiatia Wharf,Frequent,Waiheke Island,2023-07-01,20401.0
Bus,Commuter,50B,Onetangi (Fourth Ave) to Matiatia Wharf,Frequent,Waiheke Island,2023-07-01,11297.0
Bus,Commuter,64,Newmarket To Kingsland Via Mt Eden And Valley Rd,Frequent,Central,2023-07-01,20163.0
Bus,Commuter,650,Pt Chevalier Shops To Glen Innes Via Greenlane,Connector,Central,2023-07-01,30023.0
Bus,Commuter,66,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,Frequent,Central,2023-07-01,71419.0
Bus,Commuter,670,New Lynn To Otahuhu Via Avondale Stoddard Rd And Onehunga,Connector,Central,2023-07-01,29529.0
Bus,Commuter,68,New Lynn To Onehunga Station,Frequent,Central,2023-07-01,35057.0
Bus,Commuter,70,Botany To Britomart Via Panmure,Frequent,East,2023-07-01,311402.0
Bus,Commuter,70H,Britomart To Howick And Botany Via Ellerslie And Panmure,Night,East,2023-07-01,166.0
Bus,Commuter,711,Howick To Panmure Via Cascades Road,Local,East,2023-07-01,9137.0
Bus,Commuter,712,Bucklands Beach To Panmure,Connector,East,2023-07-01,19904.0
Bus,Commuter,72C,"Botany And Howick To Panmure Via Chapel Rd, Cook St, And Pak",Frequent,East,2023-07-01,30745.0
Bus,Commuter,72M,"Botany and Howick to Panmure via Millhouse Dr, Meadowland Dr",Frequent,East,2023-07-01,27005.0
Bus,Commuter,72X,Botany And Howick To Britomart Express Via Panmure And Motor,Peak,East,2023-07-01,32019.0
Bus,Commuter,733,Botany To The Parade Via Highland Park,Local,East,2023-07-01,12496.0
Bus,Commuter,734,Botany To Half Moon Bay Via Highland Park,Local,East,2023-07-01,9295.0
Bus,Commuter,735,Botany To Half Moon Bay Via Cockle Bay And Howick,Local,East,2023-07-01,11523.0
Bus,Commuter,739,Maraetai And Beachlands To Botany Via Whitford And Ormiston,Local,East,2023-07-01,7880.0
Bus,Commuter,74,Onehunga To Glen Innes Via Panmure,Frequent,Central,2023-07-01,49822.0
Bus,Commuter,744,Panmure To St Heliers Via Glen Innes,Connector,Central,2023-07-01,12526.0
Bus,Commuter,747,Panmure To Glen Innes Via Stonefields,Connector,Central,2023-07-01,8246.0
Bus,Commuter,75,Glen Innes To Wynyard Quarter Via Remuera Rd,Frequent,Central,2023-07-01,128988.0
Bus,Commuter,751,Panmure To Newmarket Via Marua Rd And Remuera Rd,Local,Central,2023-07-01,12704.0
Bus,Commuter,755,Benson Rd To Britomart Via Portland Rd,Connector,Central,2023-07-01,13987.0
Bus,Commuter,76,Glen Innes To Britomart Via Orakei,Frequent,Central,2023-07-01,45287.0
Bus,Commuter,774,West Tamaki Rd To Britomart Via Long Dr And Tamaki Dr,Peak,Central,2023-07-01,6307.0
Bus,Commuter,775,Glendowie To Britomart Via Tamaki Dr,Peak,Central,2023-07-01,7779.0
Bus,Commuter,781,Mission Bay To Museum Via Orakei,Connector,Central,2023-07-01,14879.0
Bus,Commuter,782,Sylvia Park To Mission Bay Via Ellerslie And Meadowbank,Local,Central,2023-07-01,13343.0
Bus,Commuter,783,Eastern Bays Circuit Clockwise,Local,Central,2023-07-01,2993.0
Bus,Commuter,801,Bayswater Wharf To Akoranga Station Via Takapuna,Connector,North,2023-07-01,15513.0
Bus,Commuter,802,Bayswater To City (Mayoral Dr),Peak,North,2023-07-01,5478.0
Bus,Commuter,805,Devonport Wharf To Belmont Shops Via Ngataringa Rd,Local,North,2023-07-01,584.0
Bus,Commuter,806,Devonport Wharf To Stanley Pt Loop,Connector,North,2023-07-01,2504.0
Bus,Commuter,807,Devonport Wharf To Cheltenham Loop,Connector,North,2023-07-01,2823.0
Bus,Commuter,814,Devonport Wharf To Akoranga Station Via Takapuna,Connector,North,2023-07-01,43104.0
Bus,Commuter,82,Milford To Mayoral Dr Via Takapuna,Frequent,North,2023-07-01,48543.0
Bus,Commuter,83,Massey University To Takapuna Via Browns Bay,Frequent,North,2023-07-01,71707.0
Bus,Commuter,842,Crown Hill To Smales Farm Station Via East Coast Rd,Peak,North,2023-07-01,3631.0
Bus,Commuter,843,Constellation Station To Akoranga Station Via Takapuna,Connector,North,2023-07-01,16089.0
Bus,Commuter,845,Milford To Takapuna Via North Shore Hospital,Local,North,2023-07-01,3732.0
Bus,Commuter,856,Albany Station To Takapuna Via Beach Rd And Milford,Connector,North,2023-07-01,29529.0
Bus,Commuter,861,Long Bay To Constellation Station Via Bush Rd,Connector,North,2023-07-01,27238.0
Bus,Commuter,865,Browns Bay To Albany Station Via Oaktree Ave,Connector,North,2023-07-01,6846.0
Bus,Commuter,866,Albany Stn To Newmarket Via Ponsonby And Auckland Hospital,Weekday Connector,North,2023-07-01,42439.0
Bus,Commuter,871,Constellation Station To Takapuna Via Forrest Hill Rd,Connector,North,2023-07-01,27495.0
Bus,Commuter,878,Browns Bay To Constellation Station Via and East Coast Rd,Connector,North,2023-07-01,16699.0
Bus,Commuter,883,Schnapper Rock To Constellation Station,Connector,North,2023-07-01,5498.0
Bus,Commuter,884,Constellation Station To NHIE Loop Anticlockwise,Weekday Connector,North,2023-07-01,4171.0
Bus,Commuter,885,Constellation Station To NHIE Loop Clockwise,Weekday Connector,North,2023-07-01,2818.0
Bus,Commuter,889,Albany Station To Constellation Station Via Hugh Green Dr,Connector,North,2023-07-01,7627.0
Bus,Commuter,901,Smales Farm To Constellation Station Via Wairau Rd,Connector,North,2023-07-01,10595.0
Bus,Commuter,906,Constellation To Smales Farm Via Windy Ridge And Archers Rd,Local,North,2023-07-01,13181.0
Bus,Commuter,907,Campbells Bay To Constellation Station Via Sunnynook Station,Local,North,2023-07-01,4666.0
Bus,Commuter,917,Birkenhead Wharf To Albany Station Via Glenfield Rd,Connector,North,2023-07-01,36869.0
Bus,Commuter,923,Akoranga Station To City (Mayoral Dr) Via Hillcrest,Connector,North,2023-07-01,31061.0
Bus,Commuter,924,Hillcrest To City (Mayoral Dr),Peak,North,2023-07-01,6711.0
Bus,Commuter,926,Glenfield To Akoranga Station Via Hillcrest West,Connector,North,2023-07-01,11851.0
Bus,Commuter,928,Northcote Point To Smales Farm Stn Via North Shore Hospital,Local,North,2023-07-01,3080.0
Bus,Commuter,931,Chatswood To University Of Auckland Via Customs St,Local,North,2023-07-01,10016.0
Bus,Commuter,933,Beach Haven Wharf To University Of Auckland Via Customs St,Local,North,2023-07-01,20894.0
Bus,Commuter,939,Windy Ridge To University of Auckland Via Customs St,Peak,North,2023-07-01,7242.0
Bus,Commuter,941,Beach Haven To Takapuna Via Glenfield And Smales Farm Stn,Connector,North,2023-07-01,39267.0
Bus,Commuter,942,Beach Haven To Takapuna via Highbury And Northcote Shops,Connector,North,2023-07-01,34043.0
Bus,Commuter,95B,Bayview To Britomart (Lower Albert St),Frequent,North,2023-07-01,50508.0
Bus,Commuter,95C,Constellation Station To Britomart (Albert St) Via Glenfield,Frequent,North,2023-07-01,36766.0
Bus,Commuter,966,Beach Haven To Newmarket Via Ponsonby And Auckland Hospital,Weekday Connector,North,2023-07-01,20623.0
Bus,Commuter,97B,Beach Haven to Britomart (Lower Albert St),Frequent,North,2023-07-01,39092.0
Bus,Commuter,97R,Beach Haven to Britomart (Lower Albert St),Frequent,North,2023-07-01,33563.0
Bus,Commuter,981,Waiwera To Hibiscus Coast Station,Connector,North,2023-07-01,13439.0
Bus,Commuter,982,Gulf Harbour To Hibiscus Coast Station,Connector,North,2023-07-01,25477.0
Bus,Commuter,983,Gulf Harbour To Hibiscus Coast Station Via Vipond Rd,Local,North,2023-07-01,11389.0
Bus,Commuter,984,Orewa To Hibiscus Coast Station Via Maygrove,Local,North,2023-07-01,3060.0
Bus,Commuter,985,Orewa To Hibiscus Coast Station Via Millwater,Connector,North,2023-07-01,13727.0
Bus,Commuter,986,Hibiscus Coast Station To Albany Station Via Dariy Flat,Local,North,2023-07-01,2826.0
Bus,Commuter,988,Gulf Harbour Ferry To The Plaza Via Army Bay,Local,North,2023-07-01,1080.0
Bus,Commuter,989,Hibiscus Coast Station To Milldale Loop,Connector,North,2023-07-01,2648.0
Bus,Commuter,995,Warkworth To Hibiscus Coast Station,Rural Township,North,2023-07-01,5866.0
Bus,Commuter,996,Algies Bay To Warkworth Via Snells Beach,Rural Township,North,2023-07-01,1133.0
Bus,Commuter,997,Warkworth To Omaha Via Matakana And Pt Wells,Rural Township,North,2023-07-01,950.0
Bus,Commuter,998,Wellsford To Warkworth,Rural Township,North,2023-07-01,1944.0
Bus,Commuter,AIR,Airport Link Via Puhinui Station,Rapid,South,2023-07-01,38350.0
Bus,Commuter,CTY,Wynyard Quarter to Karangahape Rd via Queen St,Frequent,Central,2023-07-01,62432.0
Bus,Commuter,INN,Inner Link Anticlockwise,Frequent,Central,2023-07-01,120858.0
Bus,Commuter,N10,"City To Otara Via Manukau Rd, Onehunga, Mangere, Papatoetoe",Night,South,2023-07-01,49.0
Bus,Commuter,NX1,Albany Station To Britomart (Lower Albert St),Rapid,North,2023-07-01,315743.0
Bus,Commuter,NX2,Hibiscus Coast Station To Auckland Universities,Rapid,North,2023-07-01,213145.0
Bus,Commuter,OUT,St Lukes To Newmarket Via Wellesley St,Frequent,Central,2023-07-01,161302.0
Bus,Commuter,TMK,Glen Innes To Britomart Via St Heliers And Tamaki Dr,Frequent,Central,2023-07-01,48904.0
Bus,On Demand,QODTAK,AT Local,On Demand,South,2023-07-01,4210.0
Bus,School,S001,Birkenhead College To Beach Haven,School,North,2023-07-01,469.0
Bus,School,S001E,Onehunga High To Mangere East,School,South,2023-07-01,207.0
Bus,School,S001F,Royal Oak Intermediate To Favona,School,South,2023-07-01,167.0
Bus,School,S001K,Everglades to Manurewa High and Greenmeadows,School,South,2023-07-01,1131.0
Bus,School,S001N,Hobsonville Primary School to Massey West,School,West,2023-07-01,98.0
Bus,School,S002,Hatfields Beach To Orewa Schools,School,North,2023-07-01,177.0
Bus,School,S002A,Birkenhead College And Birkdale Intermediate To Chivalry Rd,School,North,2023-07-01,69.0
Bus,School,S002D,Onehunga High To Favona,School,South,2023-07-01,307.0
Bus,School,S002F,Royal Oak Intermediate To Mangere Bridge,School,South,2023-07-01,241.0
Bus,School,S002M,Clendon to Manurewa and Greenmeadows,School,South,2023-07-01,1135.0
Bus,School,S003,Carmel And Westlake Schools To Chatswood,School,North,2023-07-01,497.0
Bus,School,S003C,Onehunga High To Mangere Bridge,School,South,2023-07-01,347.0
Bus,School,S003D,Royal Oak Intermediate To Mangere,School,South,2023-07-01,272.0
Bus,School,S003E,Seventh Day Adventist Primary To Mangere Town Centre,School,South,2023-07-01,29.0
Bus,School,S003G,Flat Bush to Alfriston Sch and Takanini to Alfriston Col,School,South,2023-07-01,364.0
Bus,School,S004F,Birkenhead College To Highbury,School,North,2023-07-01,152.0
Bus,School,S004G,Weymouth And Wattle Downs To Manurewa High,School,South,2023-07-01,263.0
Bus,School,S005,Arkles Bay/Manly To Orewa College,School,North,2023-07-01,419.0
Bus,School,S005B,Kaurilands To Green Bay High School,School,West,2023-07-01,1742.0
Bus,School,S005C,Onehunga High To Mangere,School,South,2023-07-01,189.0
Bus,School,S006,Gulf Harbour To Orewa College Via Vipond Rd,School,North,2023-07-01,767.0
Bus,School,S006A,Glen Eden To Green Bay High School,School,West,2023-07-01,652.0
Bus,School,S006B,Titirangi To Remuera Schools,School,West,2023-07-01,839.0
Bus,School,S006C,Beach Haven To Westlake Schools,School,North,2023-07-01,1131.0
Bus,School,S007,Brightside Rd To Orewa College,School,North,2023-07-01,373.0
Bus,School,S007A,Salisbury Rd To Westlake Schools,School,North,2023-07-01,654.0
Bus,School,S007F,Glengarry Shops To Green Bay High School,School,West,2023-07-01,1557.0
Bus,School,S008,East Coast Rd To Kingsway School,School,North,2023-07-01,1047.0
Bus,School,S008A,Bayview To Westlake Schools,School,North,2023-07-01,645.0
Bus,School,S008C,New Lynn To Blockhouse Bay Intermediate,School,West,2023-07-01,286.0
Bus,School,S009,Glenfield To Westlake Schools,School,North,2023-07-01,590.0
Bus,School,S009A,Torbay To Kingsway School,School,North,2023-07-01,1017.0
Bus,School,S009B,Onewa Rd To Westlake Schools,School,North,2023-07-01,611.0
Bus,School,S009C,Westlake Girls To Verrans Corner,School,North,2023-07-01,261.0
Bus,School,S010,Greenhithe To Kingsway School,School,North,2023-07-01,983.0
Bus,School,S010A,Westlake Girls To Beach Haven,School,North,2023-07-01,527.0
Bus,School,S010B,Sandringham to Ponsonby Int,School,West,2023-07-01,928.0
Bus,School,S011,Blockhouse Bay Intermediate To New Lynn Via Green Bay,School,West,2023-07-01,293.0
Bus,School,S011A,Silverdale To Whangaparaoa College,School,Central,2023-07-01,879.0
Bus,School,S012,Gulf Harbour To Kingsway School,School,North,2023-07-01,1080.0
Bus,School,S012A,Beach Haven To Northcote Schools And Takapuna,School,North,2023-07-01,1217.0
Bus,School,S012B,Spinella Dr To Glenfield Intermediate Primary,School,North,2023-07-01,522.0
Bus,School,S012D,Avondale_College to New Lynn,School,West,2023-07-01,575.0
Bus,School,S012G,Otahuhu Intermediate To Mangere Town Centre,School,South,2023-07-01,249.0
Bus,School,S013,Rangitoto College To Unsworth Heights,School,North,2023-07-01,1342.0
Bus,School,S013A,Stanmore Bay To Kingsway School,School,North,2023-07-01,841.0
Bus,School,S013D,Glendene To Rutherford College,School,West,2023-07-01,1565.0
Bus,School,S013E,Otara To Edgewater College,School,South,2023-07-01,249.0
Bus,School,S014,St Josephs School To Sunnynook,School,North,2023-07-01,480.0
Bus,School,S014A,Manly To KingsWay School,School,North,2023-07-01,735.0
Bus,School,S014H,Beach Haven To Northcote Schools,School,North,2023-07-01,199.0
Bus,School,S014I,Northcote College To Beach Haven,School,North,2023-07-01,541.0
Bus,School,S015,Long Bay Primary To Torbay,School,North,2023-07-01,119.0
Bus,School,S015A,Bayview To Westlake Girls,School,North,2023-07-01,170.0
Bus,School,S015B,Westlake Girls To Bayview,School,North,2023-07-01,543.0
Bus,School,S015C,Glendene to Avondale College,School,West,2023-07-01,1100.0
Bus,School,S015E,Northcote College To Wairau Rd,School,North,2023-07-01,334.0
Bus,School,S015G,Westlake Girls To Glenfield Mall,School,North,2023-07-01,509.0
Bus,School,S016,Rothesay Bay Shops To Westlake Schools,School,North,2023-07-01,458.0
Bus,School,S016E,Greenhithe to Albany Junior High School,School,West,2023-07-01,852.0
Bus,School,S017,Devonport To Westlake Schools,School,North,2023-07-01,913.0
Bus,School,S017A,Bayswater To Westlake Schools,School,North,2023-07-01,262.0
Bus,School,S017B,Hibiscus Coast Station To Whangaparaoa College,School,North,2023-07-01,738.0
Bus,School,S017F,Greenhithe to Albany High Schools via Upper Harbour Dr,School,West,2023-07-01,2701.0
Bus,School,S017G,Otahuhu Schools To Mt Wellington,School,South,2023-07-01,144.0
Bus,School,S018,Orewa To Whangaparaoa College,School,North,2023-07-01,920.0
Bus,School,S018A,Wairau Valley To Westlake Schools,School,North,2023-07-01,178.0
Bus,School,S019,Army Bay To Whangaparaoa College,School,North,2023-07-01,1278.0
Bus,School,S019A,Whangaparaoa College To Gulf Harbour School,School,North,2023-07-01,309.0
Bus,School,S020,Westlake Schools To Albany Via Albany Hwy,School,North,2023-07-01,226.0
Bus,School,S020A,Gulf Harbour To Whangaparaoa College,School,North,2023-07-01,1545.0
Bus,School,S020I,Beach Haven To Rosmini St Josephs,School,North,2023-07-01,593.0
Bus,School,S020J,Rosmini To Beach Haven,School,North,2023-07-01,507.0
Bus,School,S021,Gulf Harbour To Whangaparaoa College.,School,North,2023-07-01,1345.0
Bus,School,S022,St Josephs School To Takapuna Via Milford And Crown Hill,School,North,2023-07-01,525.0
Bus,School,S022A,Gulf Harbour To Stella Maris School,School,North,2023-07-01,209.0
Bus,School,S022C,Henderson to Rangeview Intermediate via Glendene,School,West,2023-07-01,336.0
Bus,School,S023,Takapuna To East Coast Bays Schools,School,North,2023-07-01,647.0
Bus,School,S023A,Westlake Schools To Totara Vale,School,North,2023-07-01,177.0
Bus,School,S023B,Birkdale Intermediate To Beach Haven,School,North,2023-07-01,372.0
Bus,School,S024B,Northcross Intermediate To HC Station Via Glamorgan Dr,School,North,2023-07-01,1243.0
Bus,School,S025,Westlake Schools To Torbay,School,North,2023-07-01,574.0
Bus,School,S025A,Wood Bay To Titirangi Schools,School,West,2023-07-01,483.0
Bus,School,S025B,Birkdale Intermediate To Highbury,School,North,2023-07-01,67.0
Bus,School,S025E,Hatfields Beach To Rangitoto College,School,North,2023-07-01,1684.0
Bus,School,S026,Westlake Girls To Pinehill,School,North,2023-07-01,474.0
Bus,School,S026D,Gulf Harbour To Northcross Intermediate,School,North,2023-07-01,1949.0
Bus,School,S027,Milford To East Coast Bays Schools,School,North,2023-07-01,998.0
Bus,School,S027E,Stanmore Bay To Long Bay College,School,North,2023-07-01,1952.0
Bus,School,S027H,Carmel College To Beach Haven Via Lake Rd,School,North,2023-07-01,671.0
Bus,School,S028,Sunnynook To East Coast Bays Schools,School,North,2023-07-01,1964.0
Bus,School,S028A,Long Bay College To Northcross Intermediate,School,North,2023-07-01,1874.0
Bus,School,S028E,Whenuapai To North Shore Schools,School,West,2023-07-01,1341.0
Bus,School,S028F,Northcote Intermediate And St Marys Primary To Chatswood,School,North,2023-07-01,379.0
Bus,School,S029,Westlake Schools To Rothesay Bay,School,North,2023-07-01,421.0
Bus,School,S029A,Red Beach To Northcross And Rangitoto College,School,North,2023-07-01,787.0
Bus,School,S029B,Northcross And Rangitoto College To Red Beach,School,North,2023-07-01,713.0
Bus,School,S029E,Northcote Intermediate And St Marys Primary To Maritime Tce,School,North,2023-07-01,412.0
Bus,School,S029G,Massey and West Harbour to North Shore Schools,School,West,2023-07-01,1051.0
Bus,School,S030,Northcote College To Chatswood And Beachhaven,School,North,2023-07-01,473.0
Bus,School,S031,Pinehill To Westlake Schools,School,North,2023-07-01,686.0
Bus,School,S031A,McAuley High To Otara Town Centre,School,South,2023-07-01,209.0
Bus,School,S031B,St Johns Schools To Forrest Hill,School,North,2023-07-01,1106.0
Bus,School,S031C,Otara Town Centre To De La Salle College,School,South,2023-07-01,111.0
Bus,School,S031G,West Harbour and Greenhithe to North Shore Schools,School,West,2023-07-01,1096.0
Bus,School,S032,Northcote Intermediate And St Marys Primary To Hillcrest,School,North,2023-07-01,258.0
Bus,School,S032A,Westlake Boys To Browns Bay,School,North,2023-07-01,1381.0
