OBJECTID,ROUTEPATTERN,AGENCYNAME,ROUTENAME,ROUTENUMBER,MODE,Shape__Length,lon,lat
115671,40552,RTH,Greenmeasdows Intermediate and Manurewa High to Everglades,405,School Bus,8858.815543894674,174.894899999469,-36.990419999282
115672,40655,RTH,Clendon to Manurewa High and Greenmeadows,406,School Bus,13166.746248157484,174.890829999938,-37.0090699991978
115673,40662,RTH,Manurewa Schools to Clendon,406,School Bus,12009.723218051597,174.897329999836,-37.0075999992655
115674,40753,NZB,Mt Wellington to Otahuhu Schools,407,School Bus,9940.665697188047,174.860550000092,-36.9260699992128
115675,40754,NZB,Otahuhu Schools to Mt Wellington,407,School Bus,10475.770055734858,174.860550000092,-36.9260699992128
115676,40851,NZB,Ellerslie To Sacred Heart Via Mt Wellington Highway,408,School Bus,9907.375075233096,174.86537999989,-36.8706699992074
115677,40852,NZB,Sacred Heart College To Ellerslie Via Mt Wellington Highway,408,School Bus,11517.534759699129,174.872410000073,-36.8691499993881
115678,40951,NZB,Glendowie And St Johns To Baradene College,409,School Bus,10163.51720399858,174.800550000155,-36.8641799988333
115679,40952,NZB,Baradene To St Johns And Glendowie,409,School Bus,9821.954102559084,174.861769999444,-36.8654099987515
115680,41051,HE,Panmure To Baradene Via Marua Rd,410,School Bus,7875.482620314067,174.80659000026,-36.8673399986728
115681,41052,HE,Baradene College To Panmure,410,School Bus,7506.685442890672,174.800180000131,-36.8655099991692
115682,41151,NZB,Panmure To Baradene Via Stonefields,411,School Bus,11541.79423938188,174.800550000155,-36.8641799988333
115683,41152,NZB,Baradene To Panmure Via Stonefields,411,School Bus,11176.351430450417,174.800180000131,-36.8655099991692
115684,41251,NZB,Glen Innes To Baradene Via West Tamaki Rd,412,School Bus,13123.369624981931,174.800550000155,-36.8641799988333
115685,41252,NZB,Baradene To Glen Innes Via West Tamaki Rd,412,School Bus,12703.44383967831,174.852139999953,-36.8656199991727
115686,41351,NZB,St Heliers To Baradene College,413,School Bus,14112.579314784509,174.874109999622,-36.8475999988751
115687,41352,NZB,Baradene College To St Heliers,413,School Bus,13250.613271674476,174.873419999533,-36.8474199993291
115688,41451,NZB,Commerce St To Sacred Heart,414,School Bus,13142.36158550363,174.821029999854,-36.8457299991803
115689,41452,NZB,Sacred Heart To Commerce St,414,School Bus,14689.841975998464,174.774260000304,-36.8453199990809
115690,41551,HE,Pakuranga To Sacred Heart College,415,School Bus,6751.9249487029765,174.86537999989,-36.8706699992074
115691,41552,HE,Sacred Heart College To Pakuranga,415,School Bus,6556.25827779939,174.872410000073,-36.8691499993881
115692,41651,HE,Botany To Sacred Heart College,416,School Bus,11582.449689558827,174.86537999989,-36.8706699992074
115693,41652,HE,Sacred Heart College to Botany,416,School Bus,11708.696603534885,174.872410000073,-36.8691499993881
115694,41751,NZB,Ellerslie To Sacred Heart And Glendowie Colleges,417,School Bus,11786.092939419841,174.84996999947,-36.867089999222
115695,41752,NZB,Sacred Heart And Glendowie Colleges To Ellerslie,417,School Bus,14080.289267325372,174.865250000457,-36.8595799993558
115696,41754,NZB,Glendowie College To Ellerslie,417,School Bus,11545.345964155365,174.865250000457,-36.8595799993558
