OBJECTID,ROUTEPATTERN,AGENCYNAME,ROUTENAME,ROUTENUMBER,MODE,Shape__Length,lon,lat
115379,00566,RTH,Onehunga High To Mangere,005,School Bus,10263.07595961327,174.771190000426,-36.9195399992825
115380,00651,RTH,Titirangi To Remuera Schools,006,School Bus,23299.526704482847,174.800039999509,-36.8648699990767
115381,00652,RTH,Remuera Schools To Titirangi,006,School Bus,24546.599352221787,174.800039999509,-36.8648699990767
115382,00663,RTH,Glen Eden To Green Bay High School,006,School Bus,6459.177771398269,174.640309999546,-36.9121199994016
115383,00667,BAYES,Gulf Harbour To Orewa College Via Vipond Rd,006,School Bus,21933.113357266673,174.694850000232,-36.5929199991139
115384,00668,RTH,Green Bay High School To Glen Eden,006,School Bus,6613.008253314616,174.65692,-36.9123799990062
115385,00669,RTH,Beach Haven To Westlake Schools,006,School Bus,17378.24870063692,174.74927999962,-36.7743599995114
115386,00672,BAYES,Orewa College To Gulf Harbour Via Vipond Rd,006,School Bus,23231.60908099752,174.695080000541,-36.5932599991379
115387,00674,RTH,Westlake Boys To Beach Haven,006,School Bus,14735.076021032093,174.750180000373,-36.7784899993219
115388,00767,BAYES,Brightside Rd To Orewa College,007,School Bus,7581.297234764593,174.694800000025,-36.6027799988102
115389,00768,BAYES,Orewa College to Brightside Rd,007,School Bus,12900.61081485867,174.673359999778,-36.6046299994475
115390,00769,RTH,Salisbury Rd To Westlake Schools,007,School Bus,15756.031710202305,174.757370000151,-36.778269999234
115391,00771,RTH,Glengarry Shops To Green Bay High School,007,School Bus,5555.808132728393,174.648599999709,-36.9209099988686
115392,00772,RTH,Green Bay High to Oratia,007,School Bus,8872.687788096393,174.627586616241,-36.9108388710863
115393,00773,RTH,Oratia to Green Bay High School,007,School Bus,8685.487660582621,174.624619999893,-36.9094899994421
115394,00855,RTH,New Lynn To Blockhouse Bay Intermediate,008,School Bus,6720.501379291167,174.684370000197,-36.9171499995167
115395,00863,RTH,Bayview To Westlake Schools,008,School Bus,12191.536726499795,174.719230000163,-36.7696499994493
115396,00864,RTH,Blockhouse Bay Intermediate to New Lynn,008,School Bus,6731.040468784944,174.683830000554,-36.9182599987139
115397,00865,BAYES,East Coast Rd To Kingsway School,008,School Bus,25343.190668723106,174.72712000044,-36.7115299992314
115398,00866,RTH,Westlake Schools To Bayview,008,School Bus,11940.443749982569,174.720069999743,-36.7677899993223
115399,00868,BAYES,KingsWay School To Smales Farm,008,School Bus,26555.216383822535,174.680700000216,-36.6053499990721
115400,00959,RTH,Glenfield To Westlake Schools,009,School Bus,12204.439528308347,174.749410000297,-36.7799699988636
115401,00961,RTH,Onewa Rd To Westlake Schools,009,School Bus,10140.407438755105,174.75467000022,-36.7806699988654
115402,00963,BAYES,Torbay To Kingsway School,009,School Bus,19767.664129702807,174.699039999854,-36.682499998716
115403,00964,RTH,Westlake Schools To Glenfield.,009,School Bus,14975.96393656334,174.750109999781,-36.7718599993652
115404,00966,BAYES,Kingsway School To Torbay,009,School Bus,20594.653937352225,174.680700000216,-36.6053499990721
115405,00968,RTH,Westlake Girls To Verrans Corner,009,School Bus,13148.877356673127,174.751160000407,-36.7840199987064
115406,01061,NZB,Sandringham to Ponsonby Int,010,School Bus,10542.603749110196,174.743000000036,-36.84795999943
115407,01063,BAYES,Greenhithe To Kingsway School,010,School Bus,28662.745417753285,174.650650000031,-36.6356699994763
115408,01066,NZB,Ponsonby Int to Sandringham,010,School Bus,10549.62206626625,174.743000000036,-36.84795999943
115409,01068,BAYES,Kingsway School To Greenhithe,010,School Bus,29558.829151739064,174.680700000216,-36.6053499990721
115410,01070,RTH,Westlake Girls To Beach Haven,010,School Bus,15879.094569845374,174.699670000466,-36.7886199990928
115411,01152,BAYES,Whangaparaoa College To Silverdale,011,School Bus,10086.511232718229,174.696009999485,-36.6096299992728
115412,01153,BAYES,Silverdale To Whangaparaoa College,011,School Bus,10262.982190268838,174.688680000541,-36.6091999993183
115413,01154,RTH,Blockhouse Bay Intermediate To New Lynn Via Green Bay,011,School Bus,8794.66412951092,174.682020000223,-36.9121799989433
115414,01259,BAYES,Gulf Harbour To Kingsway School,012,School Bus,20287.035231130772,174.802370000413,-36.6040899995251
115415,01261,RTH,Spinella Dr To Glenfield Intermediate Primary,012,School Bus,13895.065530107038,174.719230000163,-36.7696499994493
115416,01263,RTH,Beach Haven To Northcote Schools And Takapuna,012,School Bus,15997.057575387971,174.699644138462,-36.7885686197218
115417,01266,RTH,Avondale_College to New Lynn,012,School Bus,3508.4072752779166,174.687950000453,-36.8900699994744
115418,01268,BAYES,Kingsway School To Gulf Harbour,012,School Bus,20249.53080744701,174.802370000413,-36.6040899995251
115419,01270,RTH,Takapuna Normal Intermediate To Beach Haven,012,School Bus,13847.849494230959,174.699644138462,-36.7885686197218
115420,01272,RTH,Otahuhu Intermediate to Mangere Town Centre,012,School Bus,9657.22496496905,174.847879999467,-36.9371499987431
115421,01359,RTH,Glendene To Rutherford College,013,School Bus,10004.437076139024,174.647470000238,-36.8645399994963
115422,01361,BAYES,Stanmore Bay To Kingsway School,013,School Bus,11540.302583783654,174.694800000025,-36.6027799988102
115423,01364,RTH,Rutherford College to Glendene,013,School Bus,10495.28736146346,174.650259999858,-36.8607699994348
115424,01366,RTH,Rangitoto College To Unsworth Heights,013,School Bus,14970.009981183877,174.727309999748,-36.7094499989224
115425,01368,BAYES,Kingsway School To Stanmore Bay,013,School Bus,12331.247374543824,174.693749999778,-36.6024499994686
115426,01452,RTH,Rutherford College To View Road,014,School Bus,8237.164994430777,174.650259999858,-36.8607699994348
115427,01464,NZB,St Josephs School To Sunnynook,014,School Bus,8921.481302164444,174.746329999922,-36.7483899991492
115428,01465,RTH,Beach Haven To Northcote Schools,014,School Bus,11732.939620679628,174.699644138462,-36.7885686197218
115429,01466,RTH,Northcote College To Beach Haven,014,School Bus,9517.214395707551,174.699644138462,-36.7885686197218
115430,01467,BAYES,Manly To KingsWay School,014,School Bus,12323.73150823149,174.69388999961,-36.6125199993516
115431,01468,BAYES,KingsWay School To Manly,014,School Bus,12252.33587753648,174.680700000216,-36.6053499990721
115432,01563,NZB,Glendene to Avondale College,015,School Bus,8333.542391938598,174.645850000412,-36.8853099988231
115433,01566,NZB,Avondale College to Glendene,015,School Bus,8580.120609496362,174.647920000519,-36.8852099992059
115434,01567,RTH,Bayview To Westlake Girls,015,School Bus,10139.853003742064,174.719230000163,-36.7696499994493
115435,01570,RTH,Long Bay Primary To Torbay,015,School Bus,4355.1645266328505,174.74634430991,-36.6952713784259
115436,01572,RTH,Northcote College To Wairau Rd,015,School Bus,5668.766393689436,174.721769999603,-36.7702699990979
115437,01574,RTH,Westlake Girls To Glenfield Mall,015,School Bus,4129.371944312685,174.72580999982,-36.7780799994722
115438,01576,RTH,Westlake Girls To Bayview,015,School Bus,8539.029860042394,174.721769999603,-36.7702699990979
115439,01656,RTH,Albany Junior High School to Greenhithe,016,School Bus,6353.302543865569,174.677960000202,-36.7725799990886
115440,01657,RTH,Greenhithe to Albany Junior High School,016,School Bus,6119.841331587082,174.675130000087,-36.7732199989979
115441,01659,NZB,Rothesay Bay Shops To Westlake Schools,016,School Bus,9885.861736726889,174.747900000315,-36.7264399993181
115442,01751,NZB,Bayswater To Westlake Schools,017,School Bus,9847.101309377667,174.750030000467,-36.7779099988507
115443,01753,NZB,Devonport To Westlake Schools,017,School Bus,11950.336071539183,174.74927999962,-36.7743599995114
115444,01758,NZB,Westlake Schools To Devonport,017,School Bus,15008.719984565154,174.750180000373,-36.7784899993219
115445,01762,BAYES,Whangaparaoa College To Hibiscus Coast Station,017,School Bus,10312.492849110844,174.69388999961,-36.6125199993516
115446,01763,RTH,Greenhithe to Albany High Schools via Upper Harbour Dr,017,School Bus,9452.709448225194,174.692966288376,-36.7481011085582
115447,01764,RTH,Albany High Schools to Greenhithe via Upper Habour Dr,017,School Bus,9529.744779128707,174.693100013792,-36.7481350028078
115448,01769,BAYES,Hibiscus Coast Station To Whangaparaoa College,017,School Bus,10506.162809478585,174.69414999985,-36.6123499990209
115449,01859,BAYES,Orewa To Whangaparaoa College,018,School Bus,11594.046827708375,174.691189999601,-36.585119998863
115450,01860,BAYES,Whangaparaoa College To Orewa,018,School Bus,11986.883394052447,174.691209999847,-36.5851599990979
115451,01863,RTH,Wairau Valley To Westlake Schools,018,School Bus,7698.422025242526,174.726260000536,-36.7621999994096
115452,01960,BAYES,Whangaparaoa College To Army Bay,019,School Bus,10191.423245668702,174.807039999597,-36.6025899986826
115453,01962,BAYES,Gulf Harbour School To Whangaparaoa College,019,School Bus,9353.833350071256,174.802370000413,-36.6040899995251
115454,01967,BAYES,Army Bay To Whangaparaoa College,019,School Bus,10203.654605227983,174.813110000193,-36.6022199993679
115455,01969,BAYES,Whangaparaoa College To Gulf Harbour School,019,School Bus,9345.828618192925,174.798429999497,-36.6035299991516
115456,02064,BAYES,Whangaparaoa College To Gulf Harbour,020,School Bus,11879.638868747594,174.802370000413,-36.6040899995251
115457,02065,BAYES,Gulf Harbour To Whangaparaoa College,020,School Bus,11924.042616256687,174.802370000413,-36.6040899995251
115458,02066,RTH,Westlake Schools To Albany Via Albany Hwy,020,School Bus,12878.887362109344,174.691360000263,-36.7350999992573
115459,02067,RTH,Beach Haven To Rosmini St Josephs,020,School Bus,14962.986061248741,174.699644138462,-36.7885686197218
115460,02068,RTH,Rosmini To Beach Haven,020,School Bus,14876.04040356431,174.755450000449,-36.7862799988993
115461,02164,BAYES,Whangaparaoa College To Gulf Harbour.,021,School Bus,12930.475943366118,174.802370000413,-36.6040899995251
115462,02165,BAYES,Gulf Harbour To Whangaparaoa College.,021,School Bus,13177.67817285503,174.802370000413,-36.6040899995251
115463,02257,RTH,Henderson to Rangeview Intermediate via Glendene,022,School Bus,8886.703175721666,174.64610999948,-36.870819998715
115464,02259,BAYES,Gulf Harbour To Stella Maris School,022,School Bus,24378.17232621372,174.694800000025,-36.6027799988102
115465,02264,RTH,Rangeview Intermediate to Henderson via Glendene,022,School Bus,8949.350459062576,174.646119999806,-36.8711799993546
115466,02266,BAYES,Stella Maris School To Gulf Harbour,022,School Bus,24107.056149487908,174.693749999778,-36.6024499994686
115467,02268,NZB,St Josephs School To Takapuna Via Milford And Crown Hill,022,School Bus,12235.374681021462,174.764270000298,-36.7553199986966
115468,02357,NZB,Takapuna To East Coast Bays Schools,023,School Bus,9627.339861072513,174.750669999964,-36.7363299992435
115469,02360,NZB,Westlake Schools To Totara Vale,023,School Bus,9853.33920277224,174.739209999721,-36.7519999987059
115470,02362,RTH,Birkdale Intermediate To Beach Haven,023,School Bus,5165.989709961122,174.699670000466,-36.7886199990928
115471,02464,BAYES,Northcross Intermediate To HC Station Via Glamorgan Dr,024,School Bus,20367.92970243309,174.699039999854,-36.682499998716
115472,02551,RTH,Wood Bay To Titirangi Schools,025,School Bus,9574.705618802316,174.654069999727,-36.9267499991298
115473,02552,RTH,Titirangi Schools To Wood Bay,025,School Bus,9763.853857140526,174.652750000406,-36.9258999992117
115474,02565,BAYES,Hatfields Beach To Rangitoto College,025,School Bus,26046.176642870272,174.69463999967,-36.5652599986648
115475,02568,RTH,Westlake Schools To Torbay,025,School Bus,18902.381325391372,174.74634430991,-36.6952713784259
115476,02570,BAYES,Rangitoto College To Hatfields Beach,025,School Bus,25670.032515206945,174.69463999967,-36.5652599986648
115477,02572,RTH,Birkdale Intermediate To Highbury,025,School Bus,3709.9961810847153,174.700939999514,-36.7955999994199
115478,02655,BAYES,Gulf Harbour To Northcross Intermediate,026,School Bus,36007.95750627887,174.802370000413,-36.6040899995251
115479,02658,RTH,Westlake Girls To Pinehill,026,School Bus,12181.052494240304,174.735530000053,-36.7201699986952
115480,02660,BAYES,Northcross Intermediate To Gulf Harbour,026,School Bus,41973.6998965246,174.802370000413,-36.6040899995251
115481,02757,NZB,Milford To East Coast Bays Schools,027,School Bus,7607.290247991915,174.750669999964,-36.7363299992435
115482,02761,BAYES,Hibiscus Coast Station To Long Bay College,027,School Bus,14071.419447474183,174.666550000505,-36.6242999987164
115483,02762,BAYES,Long Bay College To Stanmore Bay,027,School Bus,25528.102571106985,174.691210000184,-36.6044799995203
115484,02763,BAYES,Stanmore Bay to Long Bay College,027,School Bus,25067.124338384016,174.694800000025,-36.6027799988102
115485,02766,RTH,Carmel College To Beach Haven Via Lake Rd,027,School Bus,15061.178207668696,174.757600000213,-36.7780799989786
115486,02850,TZG,North Shore Schools to Whenuapai,028,School Bus,28186.586772362527,174.737850000468,-36.761369999015
115487,02859,NZB,Sunnynook To East Coast Bays Schools,028,School Bus,7490.000438967262,174.744789999747,-36.7346799986902
115488,02861,TZG,Whenuapai To North Shore Schools,028,School Bus,27224.65887272831,174.670900000447,-36.7751999986808
115489,02862,TZG,North Shore Schools To Whenuapai,028,School Bus,30122.98649757286,174.737850000468,-36.761369999015
115490,02863,BAYES,Long Bay College To Northcross Intermediate,028,School Bus,6521.008365015843,174.738119999675,-36.691299999206
115491,02864,NZB,Rangitoto College To Sunnynook,028,School Bus,4487.352690051594,174.742243030383,-36.7393790903928
115492,02866,RTH,Northcote Intermediate And St Marys Primary To Chatswood,028,School Bus,8978.512931738516,174.707270000558,-36.8082699995046
115493,02868,BAYES,Northcross Intermediate To Long Bay College,028,School Bus,6544.1299393923055,174.738040000353,-36.69091999949
115494,02961,TZG,Massey And West Harbour To North Shore Schools,029,School Bus,24556.60028079353,174.670900000447,-36.7751999986808
115495,02962,TZG,North Shore Schools To Massey And West Harbour,029,School Bus,23932.80672940819,174.737850000468,-36.761369999015
115496,02964,NZB,Westlake Schools To Rothesay Bay,029,School Bus,10607.043810693913,174.750459999933,-36.7288599991031
115497,02966,RTH,Northcote Intermediate And St Marys Primary To Maritime Tce,029,School Bus,4533.543182319027,174.743620000204,-36.8084599988167
115498,03058,RTH,Northcote College To Chatswood And Beachhaven,030,School Bus,13270.59836529016,174.699644138462,-36.7885686197218
115499,03157,RTH,Pinehill To Westlake Schools,031,School Bus,16853.10565780459,174.732229999956,-36.7095499988749
115500,03158,RTH,St Johns Schools To Forrest Hill,031,School Bus,11789.816511971254,174.744789999747,-36.7346799986902
115501,03159,RTH,Otara Town Centre to De La Salle College,031,School Bus,5999.549769825821,174.854460000422,-36.9578899993575
115502,03160,RTH,McAuley High to Otara Town Centre,031,School Bus,6368.96463797499,174.846890000458,-36.9440599991397
115503,03161,TZG,West Harbour And Greenhithe To North Shore Schools,031,School Bus,19682.54279163153,174.670900000447,-36.7751999986808
115504,03162,TZG,North Shore Schools To Greenhithe And West Harbour,031,School Bus,20130.391338116173,174.737850000468,-36.761369999015
115505,03258,RTH,Westlake Boys To Browns Bay,032,School Bus,11773.020956872891,174.733342272674,-36.7094509082584
115506,03260,RTH,Northcote Intermediate And St Marys Primary To Hillcrest,032,School Bus,7025.559152042797,174.740410000346,-36.7878799987599
115507,03353,RTH,Long Bay To Westlake Schools,033,School Bus,20927.999216072334,174.741329999942,-36.6876299988557
115508,03360,RTH,Westlake Boys To Northcross,033,School Bus,19425.935368111124,174.751340000002,-36.6951499992494
115509,03362,RTH,Rosmini College To Verrans Corner,033,School Bus,8435.498447290733,174.75757999991,-36.7920899995285
115510,03456,NZB,Westlake Boys To Takapuna Via Milford And Crown Hill,034,School Bus,10416.18995655495,174.764270000298,-36.7553199986966
115511,03554,RTH,St Marys Primary To Beach Haven,035,School Bus,9957.783356050346,174.699670000466,-36.7886199990928
115512,03652,RTH,Westlake Girls To Campbells Bay,036,School Bus,3707.102928373232,174.755060000375,-36.7578799990609
115513,03656,RTH,St Marys Primary To Bayview,036,School Bus,13361.31554396996,174.719230000529,-36.7696299991236
115514,03757,RTH,Glenfield To Westlake Schools Via Marlborough,037,School Bus,10033.586703926389,174.72580999982,-36.7780799994722
115515,03852,RTH,Northcote Int To Verrans Corner Via Onewa Rd And Highbury,038,School Bus,5519.210188162696,174.707270000558,-36.8082699995046
115516,03951,BAYES,Kaukapakapa To Hibiscus Coast Station,039,School Bus,19212.454818588783,174.495340000256,-36.6174099989711
115517,04051,GBT,Hibiscus Coast Station To Orewa College Via Millwater Pkwy,040,School Bus,8413.718128077744,174.693249999675,-36.5894499992377
115518,04054,GBT,Orewa College To Hibiscus Coast Station Via Millwater Pkwy,040,School Bus,9275.544069340802,174.687119999838,-36.5875199987047
115519,04159,RTH,Torbay To Westlake Schools,041,School Bus,17853.39331927928,174.752330000046,-36.6961299994208
115520,04161,RTH,Mangere to Otahuhu Schools,041,School Bus,12581.473793822586,174.846829999909,-36.9440699988858
115521,04258,NZB,Campbells Bay Primary To Forrest Hill,042,School Bus,6496.891044214245,174.75686000041,-36.7427199991138
115522,04259,RTH,Albany To Westlake Schools,042,School Bus,16870.05100409674,174.677230000367,-36.7173399989367
115523,04260,RTH,Westlake Schools To Albany,042,School Bus,16069.381718672917,174.695869999438,-36.7254199988271
115524,04261,NZB,Castor Bay To Campbells Bay Primary,042,School Bus,12539.848469460296,174.753130000371,-36.7442099992244
115525,04351,BAYES,Torbay To Rangitoto College Via Murrays Bay Intermediate,043,School Bus,8297.888199042978,174.752330000046,-36.6961299994208
115526,04357,BAYES,Browns Bay To Rangitoto College Via Murrays Bay Intermediate,043,School Bus,5063.386679262895,174.748300000392,-36.7153299990836
115527,04451,RTH,Browns Bay Shops To Rangitoto College Via Murrays Bay Interm,044,School Bus,5063.386679262895,174.748300000392,-36.7153299990836
115528,04452,GBT,Westlake Girls To Silverdale,044,School Bus,23715.98485968546,174.676609999929,-36.6174899992814
115529,04551,GBT,Orewa To Westlake Schools,045,School Bus,38090.4808593753,174.688960000133,-36.5780499994474
115530,04556,GBT,Westlake Schools To Silverdale,045,School Bus,31250.88131287912,174.676609999929,-36.6174899992814
115531,04558,RTH,Long Bay College To Windsor Park,045,School Bus,11190.16929507198,174.733411445611,-36.6965196378888
115532,04653,GBT,Orewa To Rosmini College And Westlake Boys,046,School Bus,36341.0454947316,174.688960000133,-36.5780499994474
115533,04660,GBT,St Josephs School To Orewa,046,School Bus,34261.26552816364,174.693960000504,-36.5867799995048
115534,04662,GBT,St Josephs To Silverdale Express,046,School Bus,24550.871867535352,174.678769999899,-36.6146899988368
115535,04664,NZB,Carmel College And Westlake Girls To Glenfield,046,School Bus,10696.027684797322,174.723760000241,-36.7767399987614
115536,04670,RTH,De La Salle College to Otara,046,School Bus,12999.399318719843,174.83321999967,-36.9583499994761
115537,04751,GBT,Gulf Harbour To Westlake Girls And Carmel College,047,School Bus,45025.18260121395,174.802370000413,-36.6040899995251
115538,04752,GBT,Carmel College And Westlake Girls To Gulf Harbour,047,School Bus,45464.32592970625,174.798429999497,-36.6035299991516
115539,04753,GBT,Silverdale To Westlake Schools,047,School Bus,25758.835235900075,174.676609999929,-36.6174899992814
115540,04754,GBT,Carmel College And Westlake Girls To Silverdale,047,School Bus,24828.400015331837,174.676609999929,-36.6174899992814
115541,04853,RTH,Northcross To East Coast Bays Schools,048,School Bus,8106.826112711499,174.727959999468,-36.7104199988534
115542,04953,RTH,Kowhai Rd To Long Bay College,049,School Bus,13022.70198294856,174.738040000353,-36.69091999949
115543,04954,GBT,Westlake Boys To Manly,049,School Bus,37204.77629802418,174.693749999778,-36.6024499994686
115544,04956,RTH,St Josephs And Rosmini College To Browns Bay,049,School Bus,17624.306577580242,174.743009999775,-36.7092699987416
115545,05051,GBT,Silverdale To Orewa College,050,School Bus,7721.661068651117,174.693249999675,-36.5894499992377
115546,05052,GBT,Orewa College To Hibiscus Coast Station Via Bankside Dr,050,School Bus,9485.44727917821,174.687119999838,-36.5875199987047
115547,05057,RTH,West Harbour to Waitakere Schools and Holy Cross School,050,School Bus,21455.8904849581,174.632680000101,-36.8121699994926
115548,05059,RTH,West Harbour To Waitakere Schools,050,School Bus,15351.971272821915,174.616740000211,-36.8184699989814
115549,05060,RTH,Holy Cross School And Waitakere Schools To West Harbour,050,School Bus,23127.73062740222,174.641240000495,-36.8150399990527
115550,05062,RTH,Waitakere Schools To West Harbour,050,School Bus,19264.711696406077,174.641240000495,-36.8150399990527
115551,05152,NZB,Campbells Bay Primary To Milford,051,School Bus,5887.694775951364,174.759030000523,-36.7546199994438
115552,05159,NZB,Sunnynook To Westlake Schools,051,School Bus,9459.835593395324,174.737309999678,-36.7501199994492
115553,05253,NZB,Wairau Valley To Westlake Schools Via Sunnynook,052,School Bus,11511.261956436594,174.73749000046,-36.7503799986718
115554,05256,NZB,Westlake Schools To Sunnynook,052,School Bus,4938.387729326586,174.750109999781,-36.7718599993652
115555,05359,RTH,Parrs Park to Avondale College,053,School Bus,12141.189177748121,174.687950000453,-36.8900699994744
115556,05360,RTH,Avondale College to Parrs Park,053,School Bus,12232.997552408355,174.627799999519,-36.9075099989836
115557,05361,NZB,Campbells Bay To Westlake Schools,053,School Bus,7720.075846683929,174.760490000107,-36.753489999525
115558,05362,RTH,Long Bay College To Murrays Bay,053,School Bus,10802.617850608953,174.738119999675,-36.691299999206
115559,05363,RTH,Unsworth To Westlake Schools,053,School Bus,10689.827637569171,174.719070000026,-36.7531499993312
115560,05364,NZB,Westlake Boys To Campbells Bay,053,School Bus,7239.853767903942,174.755300000366,-36.7412999994647
115561,05455,NZB,Totara Vale To Westlake Schools Via Sunnynook,054,School Bus,8979.588734406321,174.737750000139,-36.7580299991808
115562,05458,NZB,St Johns School To Milford,054,School Bus,9772.679038060407,174.744789999747,-36.7346799986902
115563,05562,RTH,Westlake Schools To Wairau Valley,055,School Bus,9168.256693727693,174.718849999925,-36.7532099994556
115564,05655,RTH,Forest Hill to Avondale College,056,School Bus,23057.30468509237,174.687950000453,-36.8900699994744
115565,05660,RTH,Avondale College to Forest Hill,056,School Bus,23579.768716807266,174.615190000495,-36.9004199994247
115566,05666,RTH,Carmel College To Glenfield,056,School Bus,7898.499213765702,174.723760000241,-36.7767399987614
115567,05756,NZB,Westlake Schools To Glenfield,057,School Bus,10749.132470389206,174.718849999925,-36.7532099994556
115568,05855,RTH,Favona to Onehunga Schools,058,School Bus,10288.952834933694,174.771190000426,-36.9195399992825
115569,05860,RTH,Northcross Intermediate To Long Bay,058,School Bus,8890.533284673169,174.738040000353,-36.69091999949
115570,05955,RTH,Mangere to Onehunga Schools,059,School Bus,12522.847839318616,174.771190000426,-36.9195399992825
115571,05956,RTH,Rangitoto College To Browns Bay Shops,059,School Bus,3900.3995502090784,174.743959999612,-36.7144399991636
115572,06051,NZB,Kumeu And Huapai To Kaipara College,060,School Bus,27272.248135848204,174.430380588209,-36.6583488225591
115573,06052,NZB,Kaipara College To Huapai And Kumeu,060,School Bus,28696.359700090394,174.430380588209,-36.6583488225591
115574,06057,RTH,Meadowood To Albany Schools,060,School Bus,10102.071225860273,174.692966288376,-36.7481011085582
115575,06060,RTH,Albany Schools to Meadowood,060,School Bus,10164.431993342372,174.693136022939,-36.7481450053428
115576,06062,RTH,Albany Junior High To Meadowood,060,School Bus,7492.2970031630375,174.718849999925,-36.7532099994556
115577,06064,RTH,St Johns School To Pinehill,060,School Bus,9709.487045604292,174.743959999612,-36.7144399991636
115578,06155,RTH,Albany Heights To Albany Schools,061,School Bus,13493.120264826934,174.696819999938,-36.7120599990446
115579,06161,RTH,Mangere Town Centre to Onehunga Schools,061,School Bus,12194.73423941112,174.771190000426,-36.9195399992825
115580,06164,RTH,Albany Schools To Albany Heights,061,School Bus,13408.5700211777,174.696560000181,-36.7120999986814
115581,06166,RTH,Rangitoto College To Torbay,061,School Bus,9111.968483322818,174.752219999963,-36.6960299995292
115582,06168,RTH,Onehunga High to Mangere Town Centre,061,School Bus,13166.304407459244,174.771190000426,-36.9195399992825
115583,06170,RTH,Royal Oak Intermediate to Mangere Town Centre,061,School Bus,12738.619699989666,174.774639999449,-36.9162299986848
115584,06257,NZB,Takapuna To Takapuna Grammar,062,School Bus,2258.940744266531,174.774525853703,-36.7919770720537
115585,06258,RTH,Albany Primary To Unsworth,062,School Bus,9304.452939378078,174.691089999495,-36.7368199994493
115586,06259,RTH,Unsworth To Albany Primary,062,School Bus,9119.592492437496,174.691969999665,-36.737849998711
115587,06260,RTH,Rangitoto College To Browns Bay Shops Via Beach Rd,062,School Bus,4940.120612347523,174.746149999915,-36.7189199990841
115588,06261,RTH,Favona to Onehunga Schools Via Mangere Bridge,062,School Bus,14462.663997636726,174.771190000426,-36.9195399992825
115589,06360,RTH,Northcross Intermediate To Torbay,063,School Bus,4631.857884899495,174.751340000002,-36.6951499992494
115590,06452,RTH,Epsom And Remuera Schools To Albany Station,064,School Bus,27104.10885259489,174.7278299998,-36.7516999991087
115591,06456,RTH,Albany Station To Epsom And Remuera Schools,064,School Bus,28460.238348060695,174.712489999865,-36.7223299987597
115592,06554,NZB,Rangitoto College To Takapuna Via Beach Rd,065,School Bus,9225.162800400007,174.744789999747,-36.7346799986902
115593,06656,NZB,Rangitoto College To Takapuna,066,School Bus,9745.421217775867,174.744789999747,-36.7346799986902
115594,06752,NZB,One Tree Hill College To Otahuhu Town Centre,067,School Bus,8129.391091361325,174.804970000155,-36.90358999891
115595,06852,RTH,Carmel College To Beach Haven,068,School Bus,14694.205288526568,174.757600000213,-36.7780799989786
115596,06954,RTH,St Johns School To Albany,069,School Bus,21143.362902482717,174.751340000002,-36.6951499992494
115597,07053,RTH,Schnapper Rock To Upper Harbour Primary,070,School Bus,7078.657716501697,174.682620000192,-36.7536799986557
115598,07056,RTH,Long Bay College To Browns Bay Shops,070,School Bus,6379.129164871901,174.733411445611,-36.6965196378888
115599,07058,RTH,Upper Harbour Primary To Schnapper Rock,070,School Bus,6942.593389162726,174.682620000192,-36.7536799986557
115600,07155,RTH,Pinehill To Long Bay College,071,School Bus,8849.028692079093,174.738040000353,-36.69091999949
115601,07158,RTH,Long Bay College To Pinehill,071,School Bus,8666.723898741484,174.738119999675,-36.691299999206
115602,07257,RTH,Titirangi to Avondale College,072,School Bus,7282.876670798975,174.673319999845,-36.9130499994717
115603,07258,RTH,Avondale College to Titirangi,072,School Bus,7168.48359385712,174.687950000453,-36.8900699994744
115604,07260,NZB,Northcote College To Marlborough,072,School Bus,8658.676741887417,174.739949999457,-36.7851299989794
115605,07352,NZB,Edgewater College To Otahuhu,073,School Bus,16291.916078700855,174.830509999551,-36.9073699994421
115606,07353,NZB,Otahuhu To Edgewater College,073,School Bus,17830.852897833192,174.83045000011,-36.9072999986921
115607,07357,RTH,Birkdale To Wairau Intermediate,073,School Bus,14858.043593097074,174.725660000478,-36.7589699989509
115608,07361,RTH,Woodlands Park to Glen Eden Intermediate,073,School Bus,5005.869054900574,174.637970000135,-36.9389899992794
115609,07362,RTH,Glen Eden Intermediate to Woodlands Park,073,School Bus,4931.176603264032,174.641460000278,-36.9378599993212
115610,07364,NZB,Westlake Schools To Totara Vale Via Sunnynook,073,School Bus,12239.10415313985,174.737309999678,-36.7501199994492
115611,07366,RTH,Wairau Intermediate To Birkdale,073,School Bus,14023.43882960304,174.729090000264,-36.7580599987686
115612,07455,RTH,Laingholm To Glen Eden Intermediate,074,School Bus,12435.250734550767,174.637970000135,-36.9389899992794
115613,07456,RTH,Glen Eden Intermediate To Laingholm,074,School Bus,14029.063792992974,174.641460000278,-36.9378599993212
115614,07459,RTH,Windy Ridge To Westlake Schools,074,School Bus,16696.981316133646,174.749239999862,-36.774349998689
115615,07460,RTH,Westlake Schools To Glenfield Shops,074,School Bus,13093.213064451273,174.718239999978,-36.780369998734
115616,07553,RTH,Laingholm Primary to Green Bay High School,075,School Bus,8027.26678227961,174.637970000135,-36.9389899992794
115617,07554,RTH,Green Bay High School To Laingholm Primary,075,School Bus,12657.255804919148,174.6572999997,-36.9376799990623
